0,1,2
0.025691316,0.025691314,0.03251459
0.0062012584,0.0062012584,0.05715668
0.011527001,0.011527,0.07603499
-0.0021137565,-0.002113758,0.10385683
-0.01694045,-0.016940447,0.12293579
-0.022273688,-0.022273691,0.12431799
-0.01990956,-0.019909559,0.10953878
-0.01332915,-0.013329146,0.085957736
-0.0065312237,-0.006531222,0.060170993
-0.0018100087,-0.0018100084,0.0349937
0.0015288708,0.0015288722,0.010113562
0.005082535,0.0050825328,-0.015677573
0.008679219,0.008679216,-0.04218368
0.0099317655,0.009931765,-0.06725736
0.006506597,0.006506594,-0.08693035
-0.0014866196,-0.0014866168,-0.09600953
-0.027109295,-0.027109284,-0.0763316
-0.040351402,-0.0403514,-0.06750117
-0.015116887,-0.015116887,-0.08085173
0.008470604,0.008470604,-0.09407819
0.021004679,0.021004671,-0.100781225
0.029105766,0.02910576,-0.10570708
0.033414,0.033413988,-0.10963763
0.034232393,0.034232385,-0.112544134
0.032821786,0.03282178,-0.1143869
0.030300053,0.030300044,-0.11505352
0.027372463,0.027372459,-0.11434512
0.024421731,0.024421725,-0.11207178
0.021604521,0.021604523,-0.108104676
0.018932834,0.018932827,-0.102380246
0.016378395,0.016378393,-0.09490924
0.013936783,0.013936782,-0.08576703
0.011656933,0.011656932,-0.075085044
0.009621418,0.009621414,-0.06306434
0.007919936,0.007919934,-0.05001307
0.0065783644,0.0065783635,-0.03640181
0.005257952,0.005257952,-0.022801053
0.0027817313,0.0027817322,-0.009702046
-0.003267932,-0.0032679308,0.00258103
-0.0127729215,-0.012772918,0.013518704
-0.024182165,-0.024182161,0.038669657
-0.029428659,-0.029428653,0.06071862
-0.032203775,-0.03220377,0.0734827
-0.031813767,-0.031813756,0.07863376
-0.029377623,-0.029377617,0.07933121
-0.026976608,-0.026976598,0.07808795
-0.025897488,-0.025897482,0.076239325
-0.026012842,-0.026012838,0.07415149
-0.02668774,-0.02668773,0.071820945
-0.027381746,-0.027381748,0.06922658
-0.027840586,-0.027840577,0.06642141
-0.02795314,-0.027953142,0.0635698
-0.027723366,-0.027723363,0.060988437
-0.02728331,-0.027283307,0.059136257
-0.026851416,-0.026851408,0.058574237
-0.026716584,-0.02671658,0.05992598
-0.027281497,-0.027281495,0.06384462
-0.02910906,-0.02910906,0.070971474
-0.03297676,-0.03297676,0.08183353
-0.04029142,-0.04029141,0.09702355
-0.052296188,-0.052296165,0.115800284
-0.060602568,-0.060602553,0.13444577
-0.06009346,-0.06009344,0.16193792
-0.05711542,-0.057115402,0.18634109
-0.054947272,-0.05494726,0.20116971
-0.04490259,-0.044902578,0.20563598
-0.034536242,-0.03453623,0.20468459
-0.025470484,-0.025470486,0.20074154
-0.018511431,-0.018511424,0.19578034
-0.013747545,-0.013747544,0.19115621
-0.010653352,-0.010653351,0.18757233
-0.008611035,-0.008611035,0.18537024
-0.0071060257,-0.0071060252,0.1846742
-0.005716168,-0.0057161665,0.18540338
-0.0041747848,-0.0041747834,0.18721603
-0.002450053,-0.0024500526,0.18954977
-0.0007955005,-0.00079549896,0.19171178
0.00017066224,0.00017066117,0.19303133
-0.000875655,-0.000875657,0.19314101
-0.007131363,-0.0071313586,0.19102624
-0.012411799,-0.012411798,0.18489045
-0.02035359,-0.020353585,0.18612888
-0.024704682,-0.02470468,0.18452927
-0.023782104,-0.023782099,0.18077223
-0.021888457,-0.021888454,0.17697069
-0.019054947,-0.019054946,0.17309159
-0.01652088,-0.016520873,0.1696769
-0.014638828,-0.014638826,0.16687799
-0.013241479,-0.013241477,0.16460843
-0.012193035,-0.012193033,0.1628073
-0.011470787,-0.0114707835,0.16149904
-0.011084048,-0.011084047,0.16076602
-0.011056351,-0.011056352,0.16074881
-0.011431185,-0.011431182,0.16164315
-0.012360426,-0.012360425,0.16373648
-0.0140876,-0.014087599,0.16737802
-0.017007295,-0.01700729,0.17295444
-0.021710604,-0.021710599,0.1808276
-0.02909193,-0.02909192,0.19111413
-0.040682204,-0.040682193,0.20315267
-0.052341852,-0.052341837,0.21325688
-0.054986622,-0.05498661,0.22762342
-0.05348676,-0.05348675,0.23949894
-0.05222309,-0.05222309,0.2452527
-0.042359643,-0.042359628,0.24161528
-0.031444326,-0.03144432,0.23369166
-0.021573758,-0.021573754,0.22408615
-0.013767103,-0.013767101,0.21476676
-0.008284528,-0.008284526,0.20700511
-0.0047318013,-0.0047318004,0.20133387
-0.0025884244,-0.0025884241,0.19787718
-0.001352778,-0.0013527771,0.19655669
-0.0006122643,-0.0006122628,0.19715138
-5.1805404e-05,-5.18052e-05,0.19925655
0.000553941,0.0005539404,0.20228907
0.0012622611,0.0012622615,0.20549983
0.0018196058,0.0018196047,0.20806725
0.0016211128,0.0016211111,0.2092094
-0.0005566461,-0.0005566463,0.20840557
-0.0073271105,-0.0073271096,0.2044366
-0.012369585,-0.0123695815,0.19655252
-0.020520942,-0.02052094,0.1958146
-0.02596675,-0.025966743,0.19277504
-0.026214069,-0.026214065,0.1863753
-0.024962872,-0.024962865,0.17893772
-0.022634873,-0.022634866,0.17114641
-0.020571698,-0.020571692,0.1639117
-0.019104814,-0.01910481,0.15753819
-0.018005306,-0.018005308,0.15199324
-0.017077398,-0.01707739,0.14723223
-0.016278604,-0.016278597,0.14329112
-0.015624324,-0.01562432,0.1402604
-0.015193238,-0.015193235,0.13829824
-0.015060857,-0.015060856,0.13760735
-0.015420597,-0.015420598,0.13848099
-0.016560193,-0.016560195,0.14129207
-0.018901527,-0.018901527,0.14645994
-0.023073766,-0.023073768,0.15439439
-0.029967789,-0.029967792,0.16528021
-0.04109203,-0.041092034,0.17849891
-0.052949883,-0.05294988,0.1907845
-0.05642725,-0.05642724,0.20819032
-0.05428577,-0.05428576,0.22332205
-0.05182036,-0.051820356,0.23163487
-0.041396037,-0.04139603,0.23025471
-0.0301509,-0.030150894,0.22425114
-0.020047655,-0.020047653,0.21622996
-0.012058547,-0.012058544,0.20818473
-0.006426052,-0.0064260494,0.20144083
-0.0027653913,-0.002765394,0.19659567
-0.00052205246,-0.000522052,0.19382372
0.0007929084,0.00079290755,0.19309537
0.001618987,0.0016189849,0.1942191
0.0022906926,0.0022906936,0.19682099
