0,1,2
-0.06475916,0.040960126,0.040968265
-0.0713014,0.056125898,0.056216724
-0.057146095,0.06415288,0.06433477
-0.05533888,0.072168544,0.072560064
-0.055158496,0.07969897,0.08029485
-0.047454707,0.08795066,0.088614486
-0.04001818,0.10090116,0.10149149
-0.0348464,0.119919896,0.12035573
-0.0327324,0.14465773,0.14491874
-0.033276953,0.17302506,0.17313185
-0.03577328,0.20224455,0.20225482
-0.03973349,0.23011498,0.23014076
-0.042603463,0.25580028,0.25602326
-0.04483915,0.28066656,0.28130558
-0.043603275,0.30284742,0.3040253
-0.020628879,0.30561385,0.3070735
-0.033127233,0.30440244,0.3052042
-0.018512283,0.28234047,0.28276592
8.420332e-06,0.2530117,0.25382948
0.016969478,0.22179256,0.22278617
0.022307154,0.19744575,0.1984217
0.019058112,0.18102777,0.18197723
0.011808051,0.17004688,0.17098764
0.0021857212,0.16250865,0.16345586
-0.008285427,0.15642634,0.15737832
-0.018455556,0.15018363,0.15112084
-0.027590664,0.14276747,0.14365813
-0.03532025,0.13371779,0.13452666
-0.041540172,0.122919194,0.12361561
-0.04629849,0.11041942,0.11098303
-0.049710963,0.096286945,0.09671057
-0.051894385,0.080520526,0.08081034
-0.05294236,0.06299452,0.063168414
-0.052896217,0.043413486,0.04349797
-0.05172379,0.021217922,0.0212438
-0.049331635,-0.004536801,-0.0045397305
-0.04561986,-0.035070196,-0.035078842
-0.040536765,-0.07074213,-0.07074519
-0.03355339,-0.107519,-0.107518755
-0.027981462,-0.1322896,-0.1322909
-0.009873232,-0.14084293,-0.1409075
-0.008809696,-0.13028355,-0.13046858
-0.017393183,-0.11674759,-0.11700395
-0.023618244,-0.108355984,-0.10863792
-0.025582198,-0.10486195,-0.10514843
-0.024967916,-0.10454427,-0.10482667
-0.023113169,-0.1061413,-0.106415845
-0.020691618,-0.10858044,-0.10884381
-0.018193739,-0.110780776,-0.11102856
-0.016030822,-0.11174618,-0.1119734
-0.014494323,-0.110709295,-0.11091177
-0.013757612,-0.107201174,-0.10737683
-0.013852225,-0.10107855,-0.10122842
-0.014715437,-0.09247247,-0.09260026
-0.016238317,-0.08168174,-0.081792794
-0.018337123,-0.06905535,-0.069154985
-0.020968396,-0.054878727,-0.054970365
-0.024128217,-0.0392753,-0.03935775
-0.027733611,-0.022145433,-0.022207692
-0.029844152,-0.0035092584,-0.0035229384
-0.027565815,0.016919294,0.017010149
-0.015254687,0.0347804,0.03503287
-0.0018673784,0.040879946,0.04134745
0.0053368453,0.044626262,0.04533893
0.0012353499,0.05323484,0.054249566
6.032043e-05,0.059557304,0.06077935
0.0014696448,0.06334516,0.064658985
0.00399338,0.06602355,0.06735676
0.006883319,0.06809968,0.069416255
0.0097887,0.06943774,0.07072151
0.0124913575,0.06973677,0.07097992
0.014824394,0.068601385,0.06979655
0.016778136,0.06544522,0.06657732
0.018402467,0.059497796,0.06053557
0.019837542,0.049791608,0.050677504
0.02126321,0.035237346,0.035880215
0.022865525,0.014977479,0.015257075
0.024836393,-0.010885803,-0.0110917585
0.027546657,-0.03972511,-0.04047807
0.026219161,-0.063400626,-0.06457518
-0.009527882,-0.06354269,-0.06464093
-0.012981908,-0.061916783,-0.06299329
-0.008852412,-0.05918113,-0.06018599
-0.012214343,-0.05718895,-0.058120813
-0.016359173,-0.057586707,-0.05848734
-0.019331453,-0.059407346,-0.060298588
-0.021288548,-0.062169272,-0.0630676
